"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_sync_nodes_are_relay","tests.store_sync","2026-07-15","skipped","2026-07-15","TestStoreSync","test_store_sync","",""
"","13499","test_filter_subscribe_to_100_content_topics_in_one_call","tests.filter","2026-07-15","passed","2026-07-15","TestFilterSubscribeCreate","test_subscribe_create","",""
"","2516","test_admin_peer_by_id","tests.rest_flags","2026-07-15","passed","2026-07-15","TestAdminFlags","test_admin_flags","",""
"","3905","test_lightpush","tests.discv5","2026-07-15","passed","2026-07-15","TestDiscv5","test_discv5","",""
"","3469","test_multiple_content_topics_different_shard","tests.sharding","2026-07-15","passed","2026-07-15","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","16417","test_add_peers","tests.peer_connection_management","2026-07-15","passed","2026-07-15","TestPeerStore","test_peer_store","",""
"","6512","test_get_peers_after_node1_was_restarted","tests.peer_exchange","2026-07-15","passed","2026-07-15","TestPeerExchange","test_peer_exchange","",""
"","125","test_last_node_to_start_publishes","tests.relay","2026-07-15","passed","2026-07-15","TestRelayMultipleNodes","test_multiple_nodes","",""
"","123344","test_store_sync_high_jitter_stress","tests.store_sync","2026-07-15","passed","2026-07-15","TestStoreSync","test_store_sync","",""
"","213","test_message_with_ephemeral_true","tests.store","2026-07-15","passed","2026-07-15","TestEphemeral","test_ephemeral","",""
"","96980","test_relay_4_nodes_sender_packet_loss_50_15sec_timeout","tests.e2e","2026-07-15","skipped","2026-07-15","TestNetworkConditions","test_network_conditions","",""
"","843","test_message_with_both_ephemeral_true_and_false","tests.store","2026-07-15","passed","2026-07-15","TestEphemeral","test_ephemeral","",""
"","4426","test_check_sync_when_all_3_nodes_publish","tests.store_sync","2026-07-15","passed","2026-07-15","TestStoreSync","test_store_sync","",""
"","58073","test_s19_store_peer_appears_after_propagation","tests.wrappers_tests","2026-07-15","skipped","2026-07-15","TestS19StorePeerAppearsAfterPropagation","test_send_relay_propagation","",""
"","358","test_filter_unsubscribe_from_some_of_the_subscribed_content_topics","tests.filter","2026-07-15","passed","2026-07-15","TestFilterUnSubscribe","test_unsubscribe","",""
"","44","test_store_with_one_content_topic","tests.store","2026-07-15","passed","2026-07-15","TestTopics","test_topics","",""
"","34683","test_three_store_sync_exchange","tests.store_sync","2026-07-15","passed","2026-07-15","TestStoreSync","test_store_sync","",""
"","7","test_store_with_unknown_pubsub_topic","tests.store","2026-07-15","passed","2026-07-15","TestTopics","test_topics","",""
"","38032","test_store_sync_range_with_zero_jitter","tests.store_sync","2026-07-15","passed","2026-07-15","TestStoreSync","test_store_sync","",""
"","2032","test_filter_get_message_with_150_kb_payload","tests.filter","2026-07-15","passed","2026-07-15","TestFilterGetMessages","test_get_messages","",""
"","2091","test_store_sort_ascending[true]","tests.store","2026-07-15","passed","2026-07-15","TestSorting","test_sorting","",""
"","5","test_filter_unsubscribe_with_content_topic_string_instead_of_list","tests.filter","2026-07-15","passed","2026-07-15","TestFilterUnSubscribe","test_unsubscribe","",""
"","11012","test_auto_port_per_field[websocketPort-webSocket-enable_service2-8000]","tests.wrappers_tests","2026-07-15","passed","2026-07-15","TestWrapperAutoPortAllocation","test_wrapper_corner_cases","",""
"","1285","test_light_push_with_missing_pubsub_topics","tests.light_push","2026-07-15","passed","2026-07-15","TestLightPushPublish","test_publish","",""
"","5997","test_sync_messages_received_via_lightpush","tests.store_sync","2026-07-15","passed","2026-07-15","TestStoreSync","test_store_sync","",""
"","9455","test_metrics_after_light_push","tests.metrics","2026-07-15","passed","2026-07-15","TestMetrics","test_metrics","",""
"","5278","test_metrics_after_store_get","tests.metrics","2026-07-15","passed","2026-07-15","TestMetrics","test_metrics","",""
"","806","test_publish_with_valid_timestamps","tests.relay","2026-07-15","passed","2026-07-15","TestRelayPublish","test_publish","",""
"","3173","test_main_node_relay_and_store__peer_only_store","tests.store","2026-07-15","passed","2026-07-15","TestRunningNodes","test_running_nodes","",""
"","74783","test_relay_7_nodes_3sec_latency","tests.e2e","2026-07-15","passed","2026-07-15","TestNetworkConditions","test_network_conditions","",""
"","2588","test_publish_on_not_subscribed_content_topic_works","tests.sharding","2026-07-15","passed","2026-07-15","TestRelayAutosharding","test_relay_auto_sharding","",""
"","4","test_publish_on_non_subscribed_pubsub_topic","tests.relay","2026-07-15","passed","2026-07-15","TestRelayPublish","test_publish","",""
"","51233","test_relay_2_nodes_bandwidth_low_vs_high_drain_time","tests.e2e","2026-07-15","passed","2026-07-15","TestNetworkConditions","test_network_conditions","",""
"","102282","test_store_sync_long_chain","tests.store_sync","2026-07-15","passed","2026-07-15","TestStoreSync","test_store_sync","",""
"","3","test_filter_subscribe_with_no_content_topic","tests.filter","2026-07-15","passed","2026-07-15","TestFilterSubscribeCreate","test_subscribe_create","",""
"","227","test_filter_unsubscribe_from_single_content_topic","tests.filter","2026-07-15","passed","2026-07-15","TestFilterUnSubscribe","test_unsubscribe","",""
"","3788","test_admin_service_peers_contains_expected_addrs_and_protocols","tests.rest_flags","2026-07-15","passed","2026-07-15","TestAdminFlags","test_admin_flags","",""
"","1182","test_filter_unsubscribe_all_from_multiple_pubsub_topics","tests.filter","2026-07-15","passed","2026-07-15","TestFilterUnSubscribeAll","test_unsubscribe_all","",""
"","0","test_main_node_only_lightpush__peer_only_lightpush","tests.light_push","2026-07-15","skipped","2026-07-15","TestRunningNodes","test_running_nodes","",""
"","743","test_light_push_with_payload_of_1_MB","tests.light_push","2026-07-15","passed","2026-07-15","TestLightPushPublish","test_publish","",""
"","2763","test_subscribe_and_publish_on_another_shard","tests.sharding","2026-07-15","passed","2026-07-15","TestRelayStaticSharding","test_relay_static_sharding","",""
"RC04: empty payload is rejected; a non-empty send returns a handle synchronously.

        channel_send with an empty payload Errs with ""empty payload""; a normal
        channel_send returns Ok(channelReqId) immediately (delivery is async).
        Input validation + the immediate-handle contract of send.
        ","11016","test_rc04_empty_payload_rejected_and_send_returns_handle","tests.wrappers_tests","2026-07-15","passed","2026-07-15","TestChannelLifecycle","test_channel_lifecycle","",""
"","12013","test_s06_relay_propagation_without_store","tests.wrappers_tests","2026-07-15","passed","2026-07-15","TestS06CoreSenderRelayOnly","test_send_relay_propagation","",""
"","3494","test_admin_relay_peers_schema","tests.rest_flags","2026-07-15","passed","2026-07-15","TestAdminFlags","test_admin_flags","",""
"","383","test_publish_after_node_pauses_and_pauses","tests.relay","2026-07-15","passed","2026-07-15","TestRelayPublish","test_publish","",""
"","3468","test_multiple_content_topics_same_shard[content_topic_list1]","tests.sharding","2026-07-15","passed","2026-07-15","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
