"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"S09: S08 + store peer + reliability → Propagated, then Sent.","13014","test_s09_relay_fallback_to_lightpush_with_store_validation","tests.wrappers_tests","2026-06-17","passed","2026-06-17","TestRelayToLightpushFallback","test_send_lightpush_and_edge","",""
"","4","test_filter_subscribe_with_invalid_pubsub_topic_format","tests.filter","2026-06-17","passed","2026-06-17","TestFilterSubscribeCreate","test_subscribe_create","",""
"","22","test_publish_with_invalid_timestamps","tests.relay","2026-06-17","passed","2026-06-17","TestRelayPublish","test_publish","",""
"","0","test_peer_store_content_after_node2_restarts","tests.peer_connection_management","2026-06-17","skipped","2026-06-17","TestPeerStore","test_peer_store","",""
"","841","test_invalid_hash_param","tests.store","2026-06-17","passed","2026-06-17","TestHashes","test_hashes","",""
"","12","test_filter_ping_without_request_id","tests.filter","2026-06-17","passed","2026-06-17","TestFilterPing","test_ping","",""
"","3072","test_content_topic_and_pubsub_topic_not_in_docker_flags","tests.sharding","2026-06-17","passed","2026-06-17","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","5","test_filter_update_subscription_with_pubsub_topic_list_instead_of_string","tests.filter","2026-06-17","passed","2026-06-17","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","2746","test_main_node_relay_and_store__peer_only_store","tests.store","2026-06-17","passed","2026-06-17","TestRunningNodes","test_running_nodes","",""
"","228","test_filter_get_message_with_ephemeral","tests.filter","2026-06-17","passed","2026-06-17","TestFilterGetMessages","test_get_messages","",""
"","4","test_filter_subscribe_with_no_request_id","tests.filter","2026-06-17","passed","2026-06-17","TestFilterSubscribeCreate","test_subscribe_create","",""
"","12014","test_auto_port_node_can_propagate_message","tests.wrappers_tests","2026-06-17","passed","2026-06-17","TestWrapperAutoPortAllocation","test_wrapper_corner_cases","",""
"","1256","test_time_filter_zero_start_time","tests.store","2026-06-17","passed","2026-06-17","TestTimeFilter","test_time_filter","",""
"","0","test_get_peers_two_protocols","tests.peer_connection_management","2026-06-17","skipped","2026-06-17","TestPeerStore","test_peer_store","",""
"","32597","test_admin_connected_peers_scalar_types","tests.rest_flags","2026-06-17","passed","2026-06-17","TestAdminFlags","test_admin_flags","",""
"","488","test_relay_subscribe_with_multiple_overlapping_pubsub_topics","tests.relay","2026-06-17","passed","2026-06-17","TestRelaySubscribe","test_subscribe","",""
"","11942","test_sync_with_nodes_restart__case1","tests.store_sync","2026-06-17","passed","2026-06-17","TestStoreSync","test_store_sync","",""
"","0","test_s01_send_on_destroyed_handle","tests.wrappers_tests","2026-06-17","skipped","2026-06-17","TestS01NilOrUninitializedHandle","test_send_handle_and_subscription","",""
"","3794","test_filter_subscribe_to_29_content_topics_in_separate_calls","tests.filter","2026-06-17","passed","2026-06-17","TestFilterSubscribeCreate","test_subscribe_create","",""
"","2","test_filter_update_subscription_with_no_pubsub_topic","tests.filter","2026-06-17","passed","2026-06-17","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","37883","test_store_node_not_connected_directly_to_lightpushing_node","tests.e2e","2026-06-17","passed","2026-06-17","TestE2E","test_e2e","",""
