"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"RC03: close an existing channel; closing again / an unknown id is rejected.

        First close succeeds; a second close of the same (now-gone) id and a
        close of a never-created id both Err with ""unknown channel: <id>"".
        Lifecycle teardown + idempotency guard. No events are expected.
        ","11018","test_rc03_close_channel_close_unknown_rejected","tests.wrappers_tests","2026-08-03","passed","2026-08-03","TestChannelLifecycle","test_channel_lifecycle","",""
"","4","test_filter_subscribe_with_no_request_id","tests.filter","2026-08-03","passed","2026-08-03","TestFilterSubscribeCreate","test_subscribe_create","",""
"","12014","test_s15_lightpush_retryable_error_then_recovery","tests.wrappers_tests","2026-08-03","skipped","2026-08-03","TestS15LightpushRetryableErrorRecovery","test_send_lightpush_and_edge","",""
"","4687","test_publish_with_valid_payloads","tests.relay","2026-08-03","passed","2026-08-03","TestRelayPublish","test_publish","",""
"","13010","test_s25_ephemeral_lightpush_with_store","tests.wrappers_tests","2026-08-03","passed","2026-08-03","TestS25EphemeralLightpushWithStore","test_send_lightpush_and_edge","",""
"","1250","test_time_filter_matches_one_message","tests.store","2026-08-03","passed","2026-08-03","TestTimeFilter","test_time_filter","",""
"","1258","test_time_filter_big_timestamp","tests.store","2026-08-03","passed","2026-08-03","TestTimeFilter","test_time_filter","",""
"","2522","test_admin_filter_subscriptions_shape","tests.rest_flags","2026-08-03","passed","2026-08-03","TestAdminFlags","test_admin_flags","",""
"","51057","test_s19_store_peer_appears_after_propagation","tests.wrappers_tests","2026-08-03","skipped","2026-08-03","TestS19StorePeerAppearsAfterPropagation","test_send_relay_propagation","",""
"","5488","test_light_push_while_peer_is_paused","tests.light_push","2026-08-03","passed","2026-08-03","TestLightPushPublish","test_publish","",""
"","1032","test_publish_after_node1_restarts","tests.relay","2026-08-03","passed","2026-08-03","TestRelayPublish","test_publish","",""
"","3252","test_log_level_ERROR_from_WARN","tests.rest_flags","2026-08-03","passed","2026-08-03","TestAdminFlags","test_admin_flags","",""
"","6","test_filter_subscribe_with_invalid_request_id","tests.filter","2026-08-03","passed","2026-08-03","TestFilterSubscribeCreate","test_subscribe_create","",""
"RC04 variant: sending after the channel is closed is rejected.

        Exercises the teardown -> send ordering (distinct from RC02's
        never-created id): once channel_close removes the id, channel_send Errs
        with ""unknown channel: <id>"". No events are expected.
        ","11014","test_rc04_send_after_close_rejected","tests.wrappers_tests","2026-08-03","passed","2026-08-03","TestChannelLifecycle","test_channel_lifecycle","",""
"","134","test_light_push_with_valid_meta","tests.light_push","2026-08-03","passed","2026-08-03","TestLightPushPublish","test_publish","",""
"","198237","test_filter_20_senders_1_receiver","tests.e2e","2026-08-03","passed","2026-08-03","TestE2E","test_e2e","",""
"","3584","test_unsubscribe_from_all_content_topics","tests.sharding","2026-08-03","passed","2026-08-03","TestRelayAutosharding","test_relay_auto_sharding","",""
"","6630","test_auto_shard_relay","tests.sharding","2026-08-03","passed","2026-08-03","TestMultipleNodes","test_multiple_nodes","",""
"","4","test_filter_unsubscribe_with_no_content_topic","tests.filter","2026-08-03","passed","2026-08-03","TestFilterUnSubscribe","test_unsubscribe","",""
"","3249","test_log_level_DEBUG_from_TRACE","tests.rest_flags","2026-08-03","passed","2026-08-03","TestAdminFlags","test_admin_flags","",""
"","5533","test_metrics_after_filter_get","tests.metrics","2026-08-03","broken","2026-08-03","TestMetrics","test_metrics","",""
"","847","test_message_with_both_ephemeral_true_and_false","tests.store","2026-08-03","passed","2026-08-03","TestEphemeral","test_ephemeral","",""
"","7297","test_store","tests.discv5","2026-08-03","passed","2026-08-03","TestDiscv5","test_discv5","",""
"","974","test_light_push_with_payload_of_1_MB","tests.light_push","2026-08-03","passed","2026-08-03","TestLightPushPublish","test_publish","",""
"","6564","test_get_peers_after_node1_was_restarted","tests.peer_exchange","2026-08-03","passed","2026-08-03","TestPeerExchange","test_peer_exchange","",""
"","5517","test_filter_works_with_auto_sharding","tests.sharding","2026-08-03","passed","2026-08-03","TestFilterAutoSharding","test_filter","",""
"","3805","test_admin_peers_mesh_on_shard_contains_node2","tests.rest_flags","2026-08-03","passed","2026-08-03","TestAdminFlags","test_admin_flags","",""
"","12013","test_s04_unsubscribe_then_send_same_content_topic","tests.wrappers_tests","2026-08-03","passed","2026-08-03","TestS04UnsubscribeThenSendSameTopic","test_send_handle_and_subscription","",""
"","4792","test_filter_auto_sharding_multiple_content_topics","tests.sharding","2026-08-03","passed","2026-08-03","TestFilterAutoSharding","test_filter","",""
"","3412","test_subscribe_via_api_to_new_pubsub_topics","tests.sharding","2026-08-03","passed","2026-08-03","TestRelayStaticSharding","test_relay_static_sharding","",""
"","2530","test_single_content_topic[/statusim/1/community/cbor]","tests.sharding","2026-08-03","passed","2026-08-03","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","0","test_valid_payloads_dynamic_at_spam_rate","tests.relay","2026-08-03","skipped","2026-08-03","TestRelayRLN","test_rln","",""
"","96255","test_relay_4_nodes_two_publishers_compare_latency","tests.e2e","2026-08-03","passed","2026-08-03","TestNetworkConditions","test_network_conditions","",""
"","42932","test_repeated_filter_requestID","tests.e2e","2026-08-03","passed","2026-08-03","TestE2E","test_e2e","",""
"","14256","test_relay_2_nodes_packet_reordering","tests.e2e","2026-08-03","passed","2026-08-03","TestNetworkConditions","test_network_conditions","",""
"","31258","test_extreme_number_page_size","tests.store","2026-08-03","passed","2026-08-03","TestPageSize","test_page_size","",""
"","395","test_get_store_message_with_meta","tests.store","2026-08-03","passed","2026-08-03","TestGetMessages","test_get_messages","",""
"","0","test_valid_payloads_at_slow_rate","tests.relay","2026-08-03","skipped","2026-08-03","TestRelayRLN","test_rln","",""
"","11011","test_auto_port_per_field[restPort-rest-enable_service3-8645]","tests.wrappers_tests","2026-08-03","passed","2026-08-03","TestWrapperAutoPortAllocation","test_wrapper_corner_cases","",""
"","83115","test_store_sync_small_sync_range","tests.store_sync","2026-08-03","passed","2026-08-03","TestStoreSync","test_store_sync","",""
"","2629","test_single_pubsub_topic[/waku/2/rs/199/1]","tests.sharding","2026-08-03","passed","2026-08-03","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","840","test_passing_cursor_of_non_existing_message_from_the_store","tests.store","2026-08-03","passed","2026-08-03","TestCursor","test_cursor","",""
"","11012","test_s05_send_fails_when_auto_subscribe_fails[empty]","tests.wrappers_tests","2026-08-03","passed","2026-08-03","TestS05AutoSubscribeFailureBeforeTaskCreation","test_send_handle_and_subscription","",""
"","2635","test_single_content_topic[/app/22/sometopic/someencoding]","tests.sharding","2026-08-03","passed","2026-08-03","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","5844","test_sync_nodes_have_store_true","tests.store_sync","2026-08-03","passed","2026-08-03","TestStoreSync","test_store_sync","",""
"","69089","test_s23_no_sent_event_when_relay_has_no_store","tests.wrappers_tests","2026-08-03","passed","2026-08-03","TestS23NoSentEventWhenRelayHasNoStore","test_send_relay_propagation","",""
"RC02: channel_send() to an id that was never created is rejected.

        The send must Err with ""unknown channel: <id>"" and emit no events.
        ","11012","test_rc02_send_on_unknown_channel_rejected","tests.wrappers_tests","2026-08-03","passed","2026-08-03","TestChannelLifecycle","test_channel_lifecycle","",""
"","8843","test_start_node_with_50_pubsub_topics","tests.sharding","2026-08-03","passed","2026-08-03","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","41825","test_max_page_size","tests.store","2026-08-03","passed","2026-08-03","TestPageSize","test_page_size","",""
