"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","test_filter_ping_on_unsubscribed_peer","tests.filter","2026-08-18","passed","2026-08-18","TestFilterPing","test_ping","",""
"","40838","test_filter_node_not_connected_directly_to_relaying_node","tests.e2e","2026-08-18","passed","2026-08-18","TestE2E","test_e2e","",""
"","2636","test_single_pubsub_topic[/waku/2/rs/5/0]","tests.sharding","2026-08-18","passed","2026-08-18","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","49863","test_s19_store_peer_appears_after_propagation","tests.wrappers_tests","2026-08-18","skipped","2026-08-18","TestS19StorePeerAppearsAfterPropagation","test_send_relay_propagation","",""
"","6294","test_auto_shard_relay","tests.sharding","2026-08-18","passed","2026-08-18","TestMultipleNodes","test_multiple_nodes","",""
"","2211","test_time_filter_zero_end_time","tests.store","2026-08-18","passed","2026-08-18","TestTimeFilter","test_time_filter","",""
"RC01: create a channel; a duplicate create with the same id is rejected.

        The reliable channel manager is mounted automatically for a Core-mode
        node, so no store / --reliability is needed. No events are expected.
        ","129","test_rc01_create_channel_duplicate_rejected","tests.wrappers_tests","2026-08-18","passed","2026-08-18","TestChannelLifecycle","test_channel_lifecycle","",""
"","10290","test_sync_with_nodes_restart__case2","tests.store_sync","2026-08-18","passed","2026-08-18","TestStoreSync","test_store_sync","",""
"","3428","test_on_postgress_db_with_one_message","tests.store","2026-08-18","passed","2026-08-18","TestExternalDb","test_external_db","",""
"","844","test_store_with_wrong_hash","tests.store","2026-08-18","passed","2026-08-18","TestHashes","test_hashes","",""
"","6","test_store_with_unknown_pubsub_topic","tests.store","2026-08-18","passed","2026-08-18","TestTopics","test_topics","",""
"","2453","test_store_sort_ascending[true]","tests.store","2026-08-18","passed","2026-08-18","TestSorting","test_sorting","",""
"","2626","test_content_topic_also_in_docker_flags[/aaaaa/3/bbbbb/proto]","tests.sharding","2026-08-18","passed","2026-08-18","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","3452","test_multiple_pubsub_topics_same_cluster","tests.sharding","2026-08-18","passed","2026-08-18","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","2152","test_publish_after_node2_restarts","tests.relay","2026-08-18","passed","2026-08-18","TestRelayPublish","test_publish","",""
"","2773","test_subscribe_and_publish_on_another_content_topic_from_another_shard","tests.sharding","2026-08-18","passed","2026-08-18","TestRelayAutosharding","test_relay_auto_sharding","",""
"","21","test_filter_ping_on_peer_without_subscription","tests.filter","2026-08-18","passed","2026-08-18","TestFilterPing","test_ping","",""
"","5238","test_metrics_after_store_get","tests.metrics","2026-08-18","broken","2026-08-18","TestMetrics","test_metrics","",""
"","136","test_filter_update_subscription_refresh_existing","tests.filter","2026-08-18","passed","2026-08-18","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","23976","test_relay_2_nodes_low_bandwidth_sending_over_time","tests.e2e","2026-08-18","passed","2026-08-18","TestNetworkConditions","test_network_conditions","",""
"","924","test_store_with_empty_hashes","tests.store","2026-08-18","passed","2026-08-18","TestHashes","test_hashes","",""
