"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8223","test_relay","tests.discv5","2026-08-13","passed","2026-08-13","TestDiscv5","test_discv5","",""
"","40","test_store_with_both_pubsub_topic_and_content_topic","tests.store","2026-08-13","passed","2026-08-13","TestTopics","test_topics","",""
"","3953","test_main_node_only_lightpush__peer_full","tests.light_push","2026-08-13","passed","2026-08-13","TestRunningNodes","test_running_nodes","",""
"","18","test_light_push_with_invalid_content_topics","tests.light_push","2026-08-13","passed","2026-08-13","TestLightPushPublish","test_publish","",""
"RC09: A sends m1 while B is not up yet; B joins and still ends up with
        both m1 and m2.

        Recovery here is the send service's relay retry, not SDS: A republishes
        m1 while it is unacknowledged (within MaxTimeInCache) and it lands as
        soon as B joins the mesh. SDS-R is not exercised — a repair request only
        rides out after T_req, a hash in [repairTMin, repairTMax) = [30s, 300s)
        that logos-delivery does not expose, so it cannot be driven from an E2E
        test. That path is RC10 — see test_rc10_missing_dependency_is_parked
        below and tests/wrappers_tests/test_channel_repair.py.
        ","20698","test_rc09_late_joining_receiver_still_receives","tests.wrappers_tests","2026-08-13","passed","2026-08-13","TestChannelDelivery","test_channel_delivery","",""
"","2622","test_single_pubsub_topic[/waku/2/rs/5/999]","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","211","test_message_light_pushed_on_different_pubsub_topic_is_not_retrieved","tests.light_push","2026-08-13","passed","2026-08-13","TestLightPushPublish","test_publish","",""
"","815","test_relay_unsubscribe_from_some_pubsub_topics","tests.relay","2026-08-13","passed","2026-08-13","TestRelaySubscribe","test_subscribe","",""
"","838","test_passing_cursor_of_non_existing_message_from_the_store","tests.store","2026-08-13","passed","2026-08-13","TestCursor","test_cursor","",""
"","42743","test_multiple_edge_service_nodes_communication","tests.e2e","2026-08-13","passed","2026-08-13","TestE2E","test_e2e","",""
"","1693","test_message_relayed_before_store_node_is_started","tests.store","2026-08-13","passed","2026-08-13","TestReliability","test_reliability","",""
"","82187","test_relay_4_nodes_sender_packet_loss_delivery_ratio_simple[loss40]","tests.e2e","2026-08-13","passed","2026-08-13","TestNetworkConditions","test_network_conditions","",""
"","3303","test_filter_get_message_after_node1_restarts","tests.filter","2026-08-13","passed","2026-08-13","TestFilterGetMessages","test_get_messages","",""
"","38445","test_msg_stored_when_ephemeral_false","tests.e2e","2026-08-13","passed","2026-08-13","TestE2E","test_e2e","",""
"","843","test_store_with_empty_hashes","tests.store","2026-08-13","passed","2026-08-13","TestHashes","test_hashes","",""
"","2721","test_main_node_only_relay__peer_only_relay","tests.store","2026-08-13","passed","2026-08-13","TestRunningNodes","test_running_nodes","",""
"","253","test_filter_update_subscription_add_a_new_content_topic","tests.filter","2026-08-13","passed","2026-08-13","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","5151","test_get_peers_for_blank_node","tests.peer_exchange","2026-08-13","passed","2026-08-13","TestPeerExchange","test_peer_exchange","",""
"","3457","test_multiple_pubsub_topics_same_cluster","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","92811","test_filter_3_senders_multiple_msg_1_receiver","tests.e2e","2026-08-13","passed","2026-08-13","TestE2E","test_e2e","",""
"","6","test_filter_subscribe_with_invalid_request_id","tests.filter","2026-08-13","passed","2026-08-13","TestFilterSubscribeCreate","test_subscribe_create","",""
"","140","test_publish_with_valid_meta","tests.relay","2026-08-13","passed","2026-08-13","TestRelayPublish","test_publish","",""
"","5921","test_light_push_while_peer_is_paused","tests.light_push","2026-08-13","passed","2026-08-13","TestLightPushPublish","test_publish","",""
"","3550","test_relay_peers_on_shard_contains_connected_peer","tests.rest_flags","2026-08-13","passed","2026-08-13","TestAdminFlags","test_admin_flags","",""
"","2659","test_cant_retrieve_messages_on_not_subscribed_content_topic","tests.sharding","2026-08-13","passed","2026-08-13","TestRelayAutosharding","test_relay_auto_sharding","",""
"","3","test_filter_subscribe_with_extra_field","tests.filter","2026-08-13","passed","2026-08-13","TestFilterSubscribeCreate","test_subscribe_create","",""
"","2743","test_main_node_only_relay__peer_only_store","tests.store","2026-08-13","passed","2026-08-13","TestRunningNodes","test_running_nodes","",""
"","3277","test_single_pubsub_topic[/waku/2/rs/999/999]","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","424","test_s02_send_without_explicit_subscribe","tests.wrappers_tests","2026-08-13","passed","2026-08-13","TestS02AutoSubscribeOnFirstSend","test_send_handle_and_subscription","",""
"","2463","test_admin_peer_by_id","tests.rest_flags","2026-08-13","passed","2026-08-13","TestAdminFlags","test_admin_flags","",""
"","4955","test_combination_of_different_nodes","tests.light_push","2026-08-13","passed","2026-08-13","TestMultipleNodes","test_multiple_nodes","",""
"","218","test_get_store_message_with_version","tests.store","2026-08-13","passed","2026-08-13","TestGetMessages","test_get_messages","",""
"","2697","test_publish_on_multiple_content_topics_and_only_after_fetch_them[content_topic_list1]","tests.sharding","2026-08-13","passed","2026-08-13","TestRelayAutosharding","test_relay_auto_sharding","",""
"","2511","test_different_page_size[11]","tests.store","2026-08-13","passed","2026-08-13","TestPageSize","test_page_size","",""
"","17818","test_get_peers","tests.peer_connection_management","2026-08-13","passed","2026-08-13","TestPeerStore","test_peer_store","",""
"","2616","test_single_pubsub_topic[/waku/2/rs/199/0]","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","8","test_store_with_not_valid_content_topic","tests.store","2026-08-13","passed","2026-08-13","TestTopics","test_topics","",""
"","6387","test_filter","tests.discv5","2026-08-13","passed","2026-08-13","TestDiscv5","test_discv5","",""
"","4","test_publish_with_invalid_version","tests.relay","2026-08-13","passed","2026-08-13","TestRelayPublish","test_publish","",""
"","25256","test_light_push_with_valid_content_topics","tests.light_push","2026-08-13","passed","2026-08-13","TestLightPushPublish","test_publish","",""
"","5016","test_admin_connected_peers_contains_peers_only","tests.rest_flags","2026-08-13","passed","2026-08-13","TestAdminFlags","test_admin_flags","",""
"","68806","test_s23_no_sent_event_when_relay_has_no_store","tests.wrappers_tests","2026-08-13","passed","2026-08-13","TestS23NoSentEventWhenRelayHasNoStore","test_send_relay_propagation","",""
"","2689","test_main_node_only_relay__peer_relay_and_store","tests.store","2026-08-13","passed","2026-08-13","TestRunningNodes","test_running_nodes","",""
"","2466","test_single_pubsub_topic[/waku/2/rs/8/0]","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","124","test_filter_unsubscribe_from_non_existing_content_topic","tests.filter","2026-08-13","passed","2026-08-13","TestFilterUnSubscribe","test_unsubscribe","",""
"","37756","test_relay_receiving_node_not_connected_directly_to_relaying_node","tests.e2e","2026-08-13","passed","2026-08-13","TestE2E","test_e2e","",""
"","2645","test_single_content_topic[/app/22/sometopic/someencoding]","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","6","test_filter_unsubscribe_with_no_pubsub_topic","tests.filter","2026-08-13","passed","2026-08-13","TestFilterUnSubscribe","test_unsubscribe","",""
"","5","test_publish_with_extra_field","tests.relay","2026-08-13","passed","2026-08-13","TestRelayPublish","test_publish","",""
"","0","test_valid_payloads_at_spam_rate","tests.relay","2026-08-13","skipped","2026-08-13","TestRelayRLN","test_rln","",""
"","2555","test_single_content_topic[/app/29/sometopic/someencoding]","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","6","test_light_push_with_invalid_meta","tests.light_push","2026-08-13","passed","2026-08-13","TestLightPushPublish","test_publish","",""
"","3357","test_log_level_NOTICE_from_INFO","tests.rest_flags","2026-08-13","passed","2026-08-13","TestAdminFlags","test_admin_flags","",""
"","4","test_filter_update_subscription_with_no_pubsub_topic","tests.filter","2026-08-13","passed","2026-08-13","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","2602","test_retrieve_messages_without_subscribing_via_api","tests.sharding","2026-08-13","passed","2026-08-13","TestRelayStaticSharding","test_relay_static_sharding","",""
"","4098","test_unsubscribe_from_some_content_topics[content_topic_list0]","tests.sharding","2026-08-13","passed","2026-08-13","TestRelayAutosharding","test_relay_auto_sharding","",""
"","7","test_filter_update_subscription_with_extra_field","tests.filter","2026-08-13","passed","2026-08-13","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","2792","test_node_uses_both_auto_and_regular_apis","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","116","test_auto_port_per_field[restPort-rest-enable_service3-8645]","tests.wrappers_tests","2026-08-13","passed","2026-08-13","TestWrapperAutoPortAllocation","test_wrapper_corner_cases","",""
"","3268","test_admin_filter_subscriptions_shape","tests.rest_flags","2026-08-13","passed","2026-08-13","TestAdminFlags","test_admin_flags","",""
"","2564","test_cant_publish_on_not_subscribed_shard","tests.sharding","2026-08-13","passed","2026-08-13","TestRelayStaticSharding","test_relay_static_sharding","",""
"","785","test_filter_get_message_with_valid_timestamps","tests.filter","2026-08-13","passed","2026-08-13","TestFilterGetMessages","test_get_messages","",""
"","80685","test_relay_4_nodes_sender_packet_loss_delivery_ratio_simple[loss60]","tests.e2e","2026-08-13","skipped","2026-08-13","TestNetworkConditions","test_network_conditions","",""
"","38185","test_store_sync_range_with_zero_jitter","tests.store_sync","2026-08-13","passed","2026-08-13","TestStoreSync","test_store_sync","",""
"S08: no store peer → Propagated only.","30249","test_s08_relay_fallback_to_lightpush","tests.wrappers_tests","2026-08-13","skipped","2026-08-13","TestRelayToLightpushFallback","test_send_lightpush_and_edge","",""
"","25093","test_different_cursor_and_indexes[110-120]","tests.store","2026-08-13","passed","2026-08-13","TestCursor","test_cursor","",""
"","0","test_valid_payloads_lightpush_at_spam_rate","tests.relay","2026-08-13","skipped","2026-08-13","TestRelayRLN","test_rln","",""
"","371","test_filter_get_message_after_node_pauses_and_pauses","tests.filter","2026-08-13","passed","2026-08-13","TestFilterGetMessages","test_get_messages","",""
"","38149","test_store_sync_range_with_jitter_catches_old_messages","tests.store_sync","2026-08-13","passed","2026-08-13","TestStoreSync","test_store_sync","",""
"","4443","test_all_nodes_subscribed_to_the_topic","tests.filter","2026-08-13","passed","2026-08-13","TestFilterMultipleNodes","test_multiple_nodes","",""
"","3984","test_2_receiving_nodes__relay_node1_forwards_lightpushed_message_to_relay_node2","tests.light_push","2026-08-13","passed","2026-08-13","TestMultipleNodes","test_multiple_nodes","",""
"","15","test_filter_unsubscribe_all_on_peer_with_no_subscription","tests.filter","2026-08-13","passed","2026-08-13","TestFilterUnSubscribeAll","test_unsubscribe_all","",""
"","25830","test_relay_different_latency_between_two_nodes[5000]","tests.e2e","2026-08-13","passed","2026-08-13","TestNetworkConditions","test_network_conditions","",""
"","179","test_auto_port_per_field[metricsServerPort-metrics-enable_service4-8008]","tests.wrappers_tests","2026-08-13","passed","2026-08-13","TestWrapperAutoPortAllocation","test_wrapper_corner_cases","",""
"","0","test_2_lightpush_nodes_and_2_receiving_nodes","tests.light_push","2026-08-13","skipped","2026-08-13","TestMultipleNodes","test_multiple_nodes","",""
"","3483","test_multiple_content_topics_same_shard[content_topic_list1]","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","10453","test_different_cursor_and_indexes[19-50]","tests.store","2026-08-13","passed","2026-08-13","TestCursor","test_cursor","",""
"","4395","test_filter_get_message_with_valid_payloads","tests.filter","2026-08-13","passed","2026-08-13","TestFilterGetMessages","test_get_messages","",""
"","17068","test_different_page_size[81]","tests.store","2026-08-13","passed","2026-08-13","TestPageSize","test_page_size","",""
"","60629","test_s21_error_when_retry_window_expires","tests.wrappers_tests","2026-08-13","passed","2026-08-13","TestS21ErrorWhenRetryWindowExpires","test_send_errors_and_concurrency","",""
"","2651","test_content_topic_also_in_docker_flags[/aaaaa/3/bbbbb/proto]","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","9","test_filter_update_subscription_with_pubsub_topic_list_instead_of_string","tests.filter","2026-08-13","passed","2026-08-13","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","1257","test_time_filter_zero_start_time","tests.store","2026-08-13","passed","2026-08-13","TestTimeFilter","test_time_filter","",""
"","0","test_valid_payloads_random_epoch_at_slow_rate","tests.relay","2026-08-13","skipped","2026-08-13","TestRelayRLN","test_rln","",""
"","3952","test_subscribe_one_by_one_to_different_pubsub_topics_and_send_messages","tests.sharding","2026-08-13","passed","2026-08-13","TestRelayStaticSharding","test_relay_static_sharding","",""
"","212","test_message_with_ephemeral_true","tests.store","2026-08-13","passed","2026-08-13","TestEphemeral","test_ephemeral","",""
"","4492","test_filter_auto_sharding_multiple_content_topics","tests.sharding","2026-08-13","passed","2026-08-13","TestFilterAutoSharding","test_filter","",""
"","3233","test_s15_lightpush_retryable_error_then_recovery","tests.wrappers_tests","2026-08-13","skipped","2026-08-13","TestS15LightpushRetryableErrorRecovery","test_send_lightpush_and_edge","",""
"","2951","test_single_pubsub_topic[/waku/2/rs/5/1]","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesStaticSharding","test_running_nodes_static_sharding","",""
"","845","test_invalid_hash_param","tests.store","2026-08-13","passed","2026-08-13","TestHashes","test_hashes","",""
"","2640","test_2_nodes_different_content_topic_different_shard","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","343","test_filter_resubscribe_to_unsubscribed_topics","tests.filter","2026-08-13","passed","2026-08-13","TestFilterUnSubscribe","test_unsubscribe","",""
"","2899","test_main_node_relay_and_store__peer_neither_relay_nor_store","tests.store","2026-08-13","passed","2026-08-13","TestRunningNodes","test_running_nodes","",""
"","660184","test_query_after_long_time","tests.store_sync","2026-08-13","passed","2026-08-13","TestStoreSync","test_store_sync","",""
"","8326","test_get_multiple_store_messages","tests.store","2026-08-13","passed","2026-08-13","TestGetMessages","test_get_messages","",""
"","1133","test_filter_unsubscribe_all_from_few_content_topics","tests.filter","2026-08-13","passed","2026-08-13","TestFilterUnSubscribeAll","test_unsubscribe_all","",""
"","2640","test_single_content_topic[/app/20/sometopic/someencoding]","tests.sharding","2026-08-13","passed","2026-08-13","TestRunningNodesAutosharding","test_running_nodes_auto_sharding","",""
"","26342","test_relay_4_nodes_sender_packet_loss","tests.e2e","2026-08-13","passed","2026-08-13","TestNetworkConditions","test_network_conditions","",""
"","1253","test_time_filter_big_timestamp","tests.store","2026-08-13","passed","2026-08-13","TestTimeFilter","test_time_filter","",""
"","3972","test_admin_relay_peers_schema","tests.rest_flags","2026-08-13","passed","2026-08-13","TestAdminFlags","test_admin_flags","",""
"","78787","test_relay_4_nodes_sender_packet_loss_50_15sec_timeout","tests.e2e","2026-08-13","passed","2026-08-13","TestNetworkConditions","test_network_conditions","",""
"","5","test_filter_subscribe_with_no_request_id","tests.filter","2026-08-13","passed","2026-08-13","TestFilterSubscribeCreate","test_subscribe_create","",""
"","4345","test_check_sync_when_all_3_nodes_publish","tests.store_sync","2026-08-13","passed","2026-08-13","TestStoreSync","test_store_sync","",""
"","6555","test_s25_ephemeral_lightpush_with_store","tests.wrappers_tests","2026-08-13","passed","2026-08-13","TestS25EphemeralLightpushWithStore","test_send_lightpush_and_edge","",""
"RC10 setup: a message whose causal dependency B never saw is parked,
        not delivered.

        B is connected and subscribed throughout but has no channel when A sends
        m1, so m1 stops at B's messaging layer. B then creates the channel and A
        sends m2, which carries m1 in its causal history: message_received proves
        m2 arrived, and the absence of a channel event proves SDS parked it.

        Recovery from here is SDS-R repair, in test_channel_repair.py.
        ","52348","test_rc10_missing_dependency_is_parked","tests.wrappers_tests","2026-08-13","passed","2026-08-13","TestChannelDelivery","test_channel_delivery","",""
"","262","test_filter_subscribe_refresh","tests.filter","2026-08-13","passed","2026-08-13","TestFilterSubscribeCreate","test_subscribe_create","",""
"","2086","test_invalid_page_size","tests.store","2026-08-13","passed","2026-08-13","TestPageSize","test_page_size","",""
"","1337","test_verify_node_info","tests.rest_flags","2026-08-13","passed","2026-08-13","TestDebugFlags","test_debug_flags","",""
"","21","test_filter_update_subscription_with_invalid_content_topic_format","tests.filter","2026-08-13","passed","2026-08-13","TestFilterSubscribeUpdate","test_subscribe_update","",""
"","1252","test_time_filter_invalid_start_time","tests.store","2026-08-13","passed","2026-08-13","TestTimeFilter","test_time_filter","",""
"","4231","test_s07_relay_propagation_with_store_validation","tests.wrappers_tests","2026-08-13","passed","2026-08-13","TestS07CoreSenderRelayAndStore","test_send_relay_propagation","",""
"","2528","test_publish_without_subscribing_via_api_works","tests.sharding","2026-08-13","passed","2026-08-13","TestRelayAutosharding","test_relay_auto_sharding","",""
